item_code,eod_date,price_open,price_high,price_low,count_trade,price_close
5930,2015-08-05,23500,23740,23400,12844350,23640
5930,2015-08-04,23680,23680,23320,9844550,23500
5930,2015-08-03,24400,24440,23500,19579450,23700
5930,2015-07-31,25160,25200,24300,15419600,24300
5930,2015-07-30,25000,25500,24620,13734450,25260
5930,2015-07-29,24480,25020,24380,13381350,24600
5930,2015-07-28,24580,24940,24560,12152000,24600
5930,2015-07-27,24540,24760,24480,9829200,24580
5930,2015-07-24,24880,25060,24680,10448250,24680
5930,2015-07-23,24880,25200,24700,13416150,25060
5930,2015-07-22,25500,25540,24940,9702750,25260
5930,2015-07-21,25820,26080,25460,6446400,25500
5930,2015-07-20,26000,26220,25560,14861650,26100
5930,2015-07-17,24460,25740,24460,11173450,25640
5930,2015-07-16,24500,24760,24480,8370650,24700
5930,2015-07-15,25300,25400,24420,19989700,24500
5930,2015-07-14,25000,25440,24900,7672050,25320
5930,2015-07-13,25140,25320,24960,9573400,25180
5930,2015-07-10,24600,25300,24520,14030500,25300
5930,2015-07-09,24800,25020,24640,11780950,24780
5930,2015-07-08,24400,25180,24400,12478250,24800
5930,2015-07-07,25060,25200,24460,10099950,24600
5930,2015-07-06,25740,25880,25340,7130200,25360
5930,2015-07-03,25720,26080,25700,8223000,25980
5930,2015-07-02,25360,26040,25180,8324900,25900
5930,2015-07-01,25520,25700,25320,9870350,25360
5930,2015-06-30,25380,25700,25120,11519950,25620
5930,2015-06-29,25040,25800,25040,10347500,25560
5930,2015-06-26,25800,26060,25380,10695800,25380
5930,2015-06-25,26000,26220,25820,10198000,26040
5930,2015-06-24,26180,26560,25820,10159000,26420
5930,2015-06-23,25820,25920,25520,6370900,25620
5930,2015-06-22,25320,25560,25200,7094750,25320
5930,2015-06-19,25180,25580,25020,8247600,25300
5930,2015-06-18,25000,25320,24800,9452300,25080
5930,2015-06-17,25400,25480,24900,12767600,25100
5930,2015-06-16,25100,25480,25100,8067800,25400
5930,2015-06-15,25560,25740,25280,11741500,25540
5930,2015-06-12,25260,25480,25060,15314050,25140
5930,2015-06-11,25640,25880,25240,12501700,25240
5930,2015-06-10,26000,26200,25360,13735250,25640
5930,2015-06-09,26900,26940,26260,10118950,26280
5930,2015-06-08,26500,27100,26400,9828150,26820
5930,2015-06-05,26300,26820,26100,19411950,26740
5930,2015-06-04,26060,26320,25300,11769400,25460
5930,2015-06-03,26000,26060,25760,8757550,26060
5930,2015-06-02,26000,26020,25760,10921950,25820
5930,2015-06-01,26400,26420,25940,17380750,26140
5930,2015-05-29,26340,26420,26020,15048150,26180
5930,2015-05-28,27200,27320,26260,17265450,26280
5930,2015-05-27,27320,27380,26720,10034150,27240
5930,2015-05-26,27060,27060,26700,8195800,27000
5930,2015-05-22,27420,27440,26880,7210600,27040
5930,2015-05-21,26980,27400,26820,10291450,27320
5930,2015-05-20,26420,27100,26140,8680900,26760
5930,2015-05-19,26700,26700,26180,9626850,26400
5930,2015-05-18,27100,27120,26420,8922350,26520
5930,2015-05-15,26820,26860,26560,8488500,26800
5930,2015-05-14,26980,26980,26520,9877250,26660
5930,2015-05-13,26900,27060,26480,10633200,26620
5930,2015-05-12,27200,27200,26720,9640450,26720
5930,2015-05-11,27320,27400,26760,9488100,26760
5930,2015-05-08,27240,27500,27080,10257400,27400
5930,2015-05-07,27800,27820,27120,13270500,27240
5930,2015-05-06,28140,28460,27940,8283700,28000
5930,2015-05-04,27700,28360,27580,18352850,28200
5930,2015-04-30,27340,27880,27280,10895650,27700
5930,2015-04-29,27800,28000,27180,15697300,27320
5930,2015-04-28,28200,28220,27500,16517150,27900
5930,2015-04-27,28980,29100,28000,19089900,28200
5930,2015-04-24,29400,29400,28800,9245150,29020
5930,2015-04-23,28880,29460,28720,12655550,29220
5930,2015-04-22,28420,28900,28400,11852650,28880
5930,2015-04-21,28920,28960,28460,12394900,28600
5930,2015-04-20,29540,29560,28940,10172300,29000
5930,2015-04-17,29240,29540,28940,10762350,29540
5930,2015-04-16,29200,29400,28540,13551050,28920
5930,2015-04-15,29700,29700,29300,9429750,29480
5930,2015-04-14,29580,29820,29360,10293300,29580
5930,2015-04-13,29600,29880,29560,9960100,29800
5930,2015-04-10,29400,29780,29400,9107550,29660
5930,2015-04-09,29400,29700,29200,7773400,29580
5930,2015-04-08,29560,29700,29240,9526050,29240
5930,2015-04-07,28860,29800,28700,10582600,29400
5930,2015-04-06,28680,28800,28400,6270150,28680
5930,2015-04-03,28680,28800,28460,6903400,28680
5930,2015-04-02,28740,28740,28400,7266050,28460
5930,2015-04-01,28980,29040,28600,9842650,28820
5930,2015-03-31,28500,28680,28240,8955500,28560
5930,2015-03-30,28300,28960,28300,16065800,28420
5930,2015-03-27,29000,29120,28420,21005950,28420
5930,2015-03-26,29740,29760,29440,9369050,29700
5930,2015-03-25,29100,29560,29100,9113150,29520
5930,2015-03-24,29240,29480,29160,8122900,29340
5930,2015-03-23,29500,29600,29200,12704950,29280
5930,2015-03-20,30200,30200,29400,13225800,29400
5930,2015-03-19,29920,30120,29720,12464350,30060
5930,2015-03-18,29400,30000,29200,13661150,29940
5930,2015-03-17,29160,29740,29100,8974550,29400
5930,2015-03-16,29220,29580,29100,9413100,29140
5930,2015-03-13,29200,29460,28940,19153200,28940
5930,2015-03-12,28380,29580,28360,21108650,29480
5930,2015-03-11,28680,28860,28400,10419850,28420
5930,2015-03-10,28800,28800,28400,7814600,28400
5930,2015-03-09,28280,28980,28120,11733500,28840
5930,2015-03-06,28780,28860,28340,9615600,28440
5930,2015-03-05,28220,28800,28200,11603100,28740
5930,2015-03-04,28700,28740,28120,13748800,28360
5930,2015-03-03,27500,28460,27340,21805600,28460
5930,2015-03-02,27500,27520,27140,13009400,27140
5930,2015-02-27,27580,27600,27360,8179150,27500
5930,2015-02-26,27600,27700,27460,8374250,27580
